name,id
大澤文孝,0
小笠原種高,1
亀田 治伸,2
山田 裕進,3
玉川憲,4
片山暁雄,5
今井雄太,6
佐々木拓郎,7
林晋一郎,8
瀬戸島敏宏,9
宮川亮,10
金澤圭,11
矢沢久雄,12
柴田望洋,13
増田智明,14
WINGSプロジェクト,15
片渕彼富,16
グレゴリー サティア,17
ダウグブラウン,18
Bjarne Stroustrup,19
信男·斎藤,20
中山 清喬,21
国本 大悟,22
株式会社フレアリンク,23
高橋麻奈,24
谷本 心,25
リブロワークス,26
佐々木整,27
石井 真,28
株式会社カサレアル,29
きしだなおき,30
山本裕介,31
杉山貴章,32
三谷 純,33
近藤 雄太,34
正野 裕大,35
坂井 潔,36
鳥越 淳,37
笠原 辰仁,38
勝俣智成,39
佐伯昌樹,40
原田登志,41
西潤史郎,42
ミック,43
常松 祐一,44
安達裕哉,45
ウォルター・アイザックソン,46
Mana,47
佐竹陽一,48
山﨑翔平,49
小倉大,50
峯侑資,51
馬田隆明,52
山田祥寛,53
西岡杏,54
増井 敏克,55
IPUSIRON,56
トム・ロング (ソフトウェア工学),57
高松智史,58
木下勝寿,59
アレックス・シュウ,60
神林飛志,61
荒川傑,62
菱田真人,63
シド・ハレル,64
azu,65
Suguru Inatomi,66
荒木俊哉,67
アンドリュー・スチュワート,68
ピョートル・フェリクス・グジバチ,69
木暮太一,70
Will Larson,71
フレアリンク,72
牛尾剛,73
Tomasz Lelek,74
Jon Skeet,75
山田育矢,76
鈴木正敏,77
李凌寒,78
岡野原大輔,79
武内覚,80
Vladimir Khorikov,81
大塚亜周,82
稲葉志奈,83
金森悠,84
samemaru,85
圓山伊吹,86
植田将基,87
関口裕,88
イーサン・クロス,89
ChatGPTビジネス研究会,90
田中ひさてる,91
賀好昭仁,92
石川明,93
安藤広大,94
リチャード・セイラー,95
キャス・サンスティーン,96
望月俊孝,97
ダリル・ブリッカー,98
ジョン・イビットソン,99
Michael Hausenblas,100
森 巧尚,101
寺田 学,102
辻 真吾,103
鈴木 たかのり,104
福島 真太朗,105
クジラ飛行机,106
立山秀利,107
ブルース・シュナイアー,108
菊地正典,109
クリス・ミラー,110
トレジャーデータ,111
池田 俊介,112
藤井 温子,113
櫻井 将允,114
花岡 明,115
高柳慎一,116
長田怜士,117
田尻望,118
フェリエンヌヘルマンス,119
タケノブ・タニ,120
Cristina Videira Lopes,121
橋本 将功,122
Matt LeMay,123
平野 昌士,124
孫泰蔵,125
掌田津耶乃,126
永松茂久,127
リンダ・グラットン,128
槙俊明,129
廣末丈士,130
宮林岳洋,131
WINGSプロジェクト齊藤新三,132
鈴木僚太,133
古賀慎一,134
渡邉比呂樹,135
鴇田将克,136
森本新之助,137
手島拓也,138
吉田健人,139
高林佳稀,140
ushironoko,141
MONSTER DIVE,142
森巧尚,143
Unknown,144
